*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
"борец
боец"	luchador					2,0,8,8,10,9,2269,2017-10-11 20:24,2018-01-14 09:24	2,0,8,8,9,7,1597,2017-08-28 21:50,2017-11-03 10:50		
"бормотать
бубнить"	murmurar					2,0,8,8,9,8,953,2017-10-01 14:11,2017-11-10 07:11	2,0,11,10,4,4,531,2017-10-17 09:33,2017-11-08 12:33		
борода	"barba

dejarme crecer la <u>barba</u>"					2,0,6,6,9,6,3661,2017-09-25 10:47,2018-02-24 23:47	2,0,6,6,10,8,3931,2017-09-25 10:26,2018-03-08 05:26	2,0,0,0,0,1,66,2017-04-26 11:00,2017-04-29 05:00	
"бороться
сражаться"	"luchar <i>(general, wrestling)</i>
pelear <i>(literal)</i>"					2,0,11,10,11,8,1790,2017-09-21 20:58,2017-12-05 10:58	2,0,13,11,7,5,1244,2017-10-01 22:00,2017-11-22 18:00		
бочка	barril					2,0,9,9,10,7,1657,2017-09-25 21:34,2017-12-03 22:34	2,0,9,9,9,7,1306,2017-09-22 10:14,2017-11-15 20:14		
бояться	"tener miedo
temer"			"<b>Temer</b>
1. tr. Tener a alguien o algo por objeto de temor.
2. tr. Recelar un daño, en virtud de fundamento antecedente. Temo que vendrán mayores males.
3. tr. Sospechar, creer. Temo que sea más antiguo de lo que parece. U. t. c. prnl.
4. intr. Sentir temor. Temo por mis hijos"	"Ambas oraciones significan lo mismo. Sin embargo, <b>temer</b> tiene otro significado, como ""sospechar o creer"". Por ej: <b>Temo</b> que lo que está diciendo sea una mentira (es decir, sospecho que lo que está diciendo sea mentira)."	2,0,10,10,10,7,1563,2017-09-21 20:54,2017-11-25 23:54	2,0,8,8,11,9,2911,2017-09-22 10:25,2018-01-21 17:25		
"бразилец
бразильский"	brasileño					2,0,6,6,6,5,469,2017-10-11 20:23,2017-10-31 09:23	2,0,6,6,6,6,528,2017-10-17 09:35,2017-11-08 09:35		
"брак
женитьба
замужество"	boda					2,0,8,8,9,6,1829,2017-09-21 20:57,2017-12-07 01:57	2,0,11,10,4,5,526,2017-10-19 11:14,2017-11-10 09:14		
"брань
матерщина"	palabrota(s)					2,0,9,9,10,11,1544,2017-10-20 09:16,2017-12-23 17:16	2,0,12,11,12,12,1608,2017-10-09 20:52,2017-12-15 20:52		
брат	hermano					2,0,10,10,10,9,1572,2017-10-15 21:33,2017-12-20 09:33	2,0,8,8,9,7,1465,2017-08-28 21:50,2017-10-28 22:50		
"брать силой
принуждать"	forzar					2,0,14,11,5,6,333,2017-10-20 21:25,2017-11-03 18:25	2,0,12,11,12,13,1793,2017-10-23 20:54,2018-01-06 13:54		
"брать
собирать"	coger					2,0,8,7,3,2,401,2017-10-09 10:54,2017-10-26 03:54	2,0,12,9,5,6,366,2017-10-19 11:14,2017-11-03 17:14		
"бревно
виселица"	palo					2,0,27,18,1,2,131,2017-10-22 20:26,2017-10-28 07:26	2,0,25,17,5,5,436,2017-10-09 10:28,2017-10-27 14:28		
брить	afeitar					2,0,5,5,5,6,286,2017-10-17 09:29,2017-10-29 07:29	2,0,8,6,2,3,155,2017-10-20 21:33,2017-10-27 08:33		
