*	name	Conjugation verbos
*	card-order	3
*	max-new-cards	20
*	card-theme	Chalkboard - Clear
*	tsv	true
*	category-1	participio pasado|futuro|gerundio|pretérito imperfecto|presente|condicional|pretérito perfector simple|subjuntivo pretérito imperfecto|presente subjuntivo
*	deck-stats-1	2636,2880,1628,38,16,1,9,16,15,27,19,16,6,10,40,17,14,41,21,49,195,6,6,16,7,10,0,1,2,4,4,9,7,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,1245,15,13,1,6,16,15,24,20,11,6,12,39,17,9,45,15,49,12,9,3,2,10,9,0,3,6,6,5,10,10,1128,11,10,1,5,14,13,21,15,9,5,12,34,15,8,40,14,42,8,8,3,2,10,8,0,3,4,5,5,8,9,454,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,6,0,0,0,0,0,0,0,0,0,624,3,2,0,3,4,7,8,-9,2,1,11,26,9,5,37,12,29,0,1,2,2,3,3,0,3,-4,2,4,5,4,68060,521,305,149,115,370,860,583,-1037,538,147,985,1150,723,266,1081,722,425,715,541,30,182,647,452,0,145,54,185,181,494,575,1062,948,334,290,242,227
Text 1	Text 2	Text 3	Category 1	Statistics 1
"<u>salir</u>

condicional"	"saldría
saldrías
saldría
saldríamos
saldríais
saldrían"		condicional	2,0,10,10,10,9,1987,2017-11-13 21:30,2018-02-04 16:30
"<u>salir

</u>futuro"	"saldré
saldrás
saldrá
saldremos
saldréis
saldrán"		futuro	2,0,7,6,1,0,158,2017-11-16 20:08,2017-11-23 10:08
"<u>salir

</u>presente"	"salgo
sales
sale
salimos
salís
salen"		presente	2,0,12,10,12,11,1463,2017-10-05 09:12,2017-12-05 08:12
"<u>salir</u>

presente subjuntivo"	"salga
salgas
salga
salgamos
salgáis
salgan"		presente subjuntivo	2,0,4,4,4,3,208,2017-11-15 10:22,2017-11-24 02:22
"<u>salir

</u>pretérito perfector simple"	"salí
saliste
salío
salimos
salisteis
salieron"		pretérito perfector simple	2,0,10,10,10,9,1755,2017-10-12 09:52,2017-12-24 12:52
"<u>sembrar</u>

presente"	"siembro
siembras
siembra
sembramos
sembráis
siembran"		presente	2,0,4,4,4,5,557,2017-11-20 10:58,2017-12-13 15:58
"<u>ser</u>

futuro"	"seré
serás
será
seremos
seréis
serán"		futuro	2,0,11,11,11,10,2136,2017-11-10 09:03,2018-02-07 09:03
"<u>ser

</u>gerundio"	siendo		gerundio	2,0,15,13,5,4,756,2017-10-25 10:35,2017-11-25 22:35
"<u>ser</u>

participio pasado"	sido		participio pasado	2,0,10,10,10,9,2429,2017-10-30 10:10,2018-02-08 15:10
"<u>ser

</u>presente"	"soy
eres
es
somos
sois
son"		presente	2,0,10,10,10,9,1686,2017-11-05 19:13,2018-01-15 01:13
"<u>ser</u>

presente subjuntivo"	"sea
seas
sea
seamos
seáis
sean"		presente subjuntivo	2,0,4,4,4,3,236,2017-11-15 21:46,2017-11-25 17:46
"<u>ser

</u>pretérito imperfecto"	"era
eras
era
éramos
erais
eran"		pretérito imperfecto	2,0,31,21,1,2,64,2017-11-20 11:00,2017-11-23 03:00
"<u>ser

</u>pretérito perfector simple"	"fui
fuiste
fue
fuimos
fuisteis
fueron"		pretérito perfector simple	2,0,14,12,7,6,1551,2017-11-13 09:40,2018-01-17 00:40
"<u>servir</u>

presente subjuntivo"	"sirva
sirvas
sirva
sirvamos
sirváis
sirvan"		presente subjuntivo	2,0,8,5,1,2,48,2017-11-20 11:00,2017-11-22 11:00
"<u>sustituir</u>

presente subjuntivo"	"sustituya
sustituyas
sustituya
sustituyamos
sustituyáis
sustituyan"		presente subjuntivo	2,0,6,5,6,5,205,2017-11-16 10:29,2017-11-24 23:29
"<u>tañer</u>

pretérito perfecto simple"	"tañí
tañiste
tañó
tañimos
tañisteis
tañeron"		pretérito perfector simple	2,0,6,6,6,5,484,2017-11-02 21:51,2017-11-23 01:51
"<u>temblar

</u>presente"	"tiemblo
tiemblas
tiembla
temblamos
tembláis
tiemblan"		presente	2,0,10,10,10,9,1770,2017-11-14 08:34,2018-01-27 02:34
"<u>tener</u>

futuro"	"tendré
tendrás
tendrá
tendremos
tendréis
tendrán"		futuro	2,0,11,11,11,10,2262,2017-11-16 10:30,2018-02-18 16:30
"<u>tener</u>

presente subjuntivo"	"tenga
tengas
tenga
tengamos
tengáis
tengan"		presente subjuntivo	2,0,4,4,4,3,197,2017-11-14 08:33,2017-11-22 13:33
"<u>tener

</u>pretérito perfector simple"	"tuve
tuviste
tuvo
tuvimos
tuvisteis
tuvieron"		pretérito perfector simple	2,0,11,10,10,9,1330,2017-10-01 13:27,2017-11-25 23:27
"<u>traducir</u>

presente subjuntivo"	"traduzca
traduzcas
traduzca
traduzcamos
traduzcáis
traduzcan"		presente subjuntivo	2,0,4,4,4,3,222,2017-11-15 10:20,2017-11-24 16:20
"<u>traducir</u>

pretérito perfecto simple"	"traduje
tradujiste
tradujo
tradujimos
tradujisteis
tradujeron"		pretérito perfector simple	2,0,6,6,6,5,483,2017-11-02 10:48,2017-11-22 13:48
"<u>traer</u>

gerundio"	trayendo		gerundio	2,0,9,9,10,9,1979,2017-09-20 20:46,2017-12-12 07:46
"<u>traer

</u>presente"	"traigo
traes
trae
traemos
traéis
traen"		presente	2,0,10,10,10,9,1489,2017-10-06 09:12,2017-12-07 10:12
"<u>traer</u>

presente subjuntivo"	"traiga
traigas
traiga
traigamos
traigáis
traigan"		presente subjuntivo	2,0,4,4,4,3,206,2017-11-14 21:38,2017-11-23 11:38
"<u>traer</u>

pretérito perfector simple"	"traje
trajiste
trajo
trajimos
trajisteis
trajeron"		pretérito perfector simple	2,0,15,12,5,4,821,2017-11-10 09:03,2017-12-14 14:03
